Note_ID,Tags,Actor,Common Words,Components,English,Frequency,HSK_2,Hanzi,ID,Image,Initial,MBP_Level,MBP_Phase,Notes,Pinyin,Scene,Set,Simplified,Sound,Tone,Tone-Location,Traditional,Translation of Words,Words_English_Sound,Words_Sound
1778227239439,migaku_import,Bender (Futurama),"宽斧, 战斧","[父|nid1775412213899], [斤|nid1775412213843]",hatchet,"<div class=""freq freq-basic"">basic</div>",,斧,1778227239,"<img src=""MBP_note_1778227239439.jpg"">",fu,,Unknown,"<!-- ANKI_LINKER_START -->
<div style='margin-top:15px;padding-top:10px;border-top:1px dashed #374151;font-size:0.85em;color:#9CA3AF;line-height:1.5;'><b>Words containing 斧:</b> [斧子, 造型|nid1770284121967], [斧子|nid1770284158235]</div>
<!-- ANKI_LINKER_END -->",fǔ,"In Room [3], Bender is seized by a sudden, metallic fury, wielding a gigantic, gleaming hatchet (斤) as he violently hacks into a towering, holographic *father* (父) projection. Sparks shower the floor while Bender, tears of oil streaming, growls through gritted teeth, ""You may be my creator, but I'll forge my own destiny with this blade!""",-ǔ,斧,[sound:hypertts-c8ec773df98ba2198cfe7f642ed097abfc457e90844e07a5f958873f.mp3],3,Room [3],斧,"broadax, battle-ax",[sound:hypertts-17c23d2f67994dd7cd4572bf1f055f530077679fbf22a0a7f347d381.mp3],[sound:zh_words_25c28f9e3fa5d0466d3f69492e15db08dd57bf1d.mp3]
1781004427281,n1_added,Kevin Hart,"惭愧, 愧疚","[忄|nid1775412213819], [鬼|nid1775412214036]",ashamed; conscience-stricken,,,愧,1781004448,"<img src=""mbp_愧_ashamed.png"">",K,Unknown,Unknown,"<!-- ANKI_LINKER_START -->
<div style='margin-top:15px;padding-top:10px;border-top:1px dashed #374151;font-size:0.85em;color:#9CA3AF;line-height:1.5;'><b>Words containing 愧:</b> [不愧|nid1779271300506]</div>
<!-- ANKI_LINKER_END -->",kuì,"In the Backyard, Kevin Hart, ""ei""-ther having a little heart or being a ghost like Casper, feels utterly ashamed and conscience-stricken after accidentally scaring a goblin.",-ei,愧,[sound:hypertts-6257032a5f69933869da5bb6ba6af69f7809b06ce134151af377cf02.mp3],4,Backyard [4],愧,ashamed; guilty / regretful,[sound:hsk4_en_words_22.mp3],[sound:hsk4_ch_words_22.mp3]
1778227240467,migaku_import,Branch Trolls (J. Timberlake),"奸诈, 巧诈","[言|nid1775412213989], [乍|nid1775412213597]",to cheat,"<div class=""freq freq-basic"">basic</div>",,诈,1778227352,"<img src=""MBP_note_1778227240467.jpg"">",zh,,Unknown,"<!-- ANKI_LINKER_START -->
<div style='margin-top:15px;padding-top:10px;border-top:1px dashed #374151;font-size:0.85em;color:#9CA3AF;line-height:1.5;'><b>Words containing 诈:</b> [诈|nid1765103440496]</div>
<!-- ANKI_LINKER_END -->",zhà,"In the sun-drenched backyard, Branch Trolls, with J. Timberlake's signature smooth, deceptive voice, suddenly (乍) spins a web of intricate lies (言/讠), trying to cheat his friends out of their precious dance moves. The vibrant glitter falls like a silent accusation as his sudden betrayal (乍) shatters the party atmosphere, leaving a raw feeling of being conned.",-a,诈,[sound:hypertts-0905abd0b0348e9c2b849a50a1a8e7d54b34688de3fbf86779b692bd.mp3],4,Backyard [4],詐,"treachery, deceitful",[sound:en_words_80e9e2ba4e254c1dba31aea6f55f939ac6f1340b.mp3],[sound:zh_words_64d390cce56544ceb1a2c1fb52dee5386d033e59.mp3]
1781004427285,n1_added,Lisa Simpsons,"拎包, 拎水","[扌|nid1775412213832], [令|nid1775412213636]","lift, carry (by hand)",,,拎,1781004449,"<img src=""mbp_拎_lift.png"">",L,Unknown,Unknown,"<!-- ANKI_LINKER_START -->
<div style='margin-top:15px;padding-top:10px;border-top:1px dashed #374151;font-size:0.85em;color:#9CA3AF;line-height:1.5;'><b>Words containing 拎:</b> [拎|nid1779272154120]</div>
<!-- ANKI_LINKER_END -->",līn,"In Front, Lisa Simpson uses the hand from Adam's to lift and carry an ""en""-ormous item, following a direct order.",-en,拎,[sound:hypertts-371d29afb2f9fe2e25a0c0fb2c364b2989557b85b9ddd00df34564f3.mp3],1,In Front [1],拎,to carry a bag; to carry water,[sound:hsk4_en_words_23.mp3],[sound:hsk4_ch_words_23.mp3]
1778227239960,migaku_import,Branch Trolls (J. Timberlake),"幼稚, 甜稚","[禾|nid1775412213944], [隹|nid1775412214021]",infantile,"<div class=""freq freq-basic"">basic</div>",,稚,1778227274,"<img src=""MBP_note_1778227239960.jpg"">",zh,,Unknown,"<!-- ANKI_LINKER_START -->
<div style='margin-top:15px;padding-top:10px;border-top:1px dashed #374151;font-size:0.85em;color:#9CA3AF;line-height:1.5;'><b>Words containing 稚:</b> [黑名, 幼稚|nid1745055563104]</div>
<!-- ANKI_LINKER_END -->",zhì,"In a sun-drenched backyard, a gang of infantile Branch Trolls launches a chaotic food fight, pelting stalks of grain (禾) at a bewildered short-tailed bird (隹) that squawks indignantly, utterly overwhelmed by their tiny, yet tempestuous, childish rampage. The bird flails its little wings, struggling to escape the barrage of leafy green, its ruffled feathers a testament to the Trolls' unrestrained, infantile exuberance.",-i,稚,[sound:hypertts-baf1ad56dfa1f35f97a0e1dcc6334830b5e18742942243d5122cc245.mp3],4,Backyard [4],稺/穉,"young, sweet and innocent",[sound:hypertts-4c3443719822081feff20070fe7fdb0f7feb8ccd674a9c01ac8d8340.mp3],[sound:zh_words_5bff1b310ff3f0a1b8172b60d33eadb6ba105075.mp3]
1778227240472,migaku_import,Peter Griffin,"千帕, 卡帕","[巾|nid1775412213796], [白|nid1775412213924]",to wrap,"<div class=""freq freq-basic"">basic</div>",,帕,1778227353,"<img src=""MBP_note_1778227240472.jpg"">",p,,Unknown,"<!-- ANKI_LINKER_START -->
<div style='margin-top:15px;padding-top:10px;border-top:1px dashed #374151;font-size:0.85em;color:#9CA3AF;line-height:1.5;'><b>Words containing 帕:</b> [素, 帕, 而已|nid1749710415078]</div>
<!-- ANKI_LINKER_END -->",pà,"A beads of sweat forming on his brow, Peter Griffin, standing amidst the chaotic clutter of his Backyard, let out a frustrated grunt. With a sudden, powerful downward swoop, he snatched a gleaming 白 (bái) white 巾 (jīn) towel and violently attempted to wrap a mysteriously shimmering, unidentifiable object, the fabric snapping taut around it with a desperate *thwack*. His face contorted in a comical grimace of intense effort, determined to contain whatever secret it held.",-a,帕,[sound:hypertts-be0afcc7c618a87476e79bc1ff9d29c930a32d5ef8e3def3cd241098.mp3],4,Backyard [4],帕,"kilopascal (kPa, unit of pressure), kappa (Greek letter Κκ)",[sound:en_words_995e41212ebc5bb821148abacf8e10628ca6c2b5.mp3],[sound:zh_words_e8a0f9f917989aff44c6b278174593852a2aaf23.mp3]
1781004427288,n1_added,Branch Trolls (J. Timberlake),"拯救, 拯治","[扌|nid1775412213832], 丞","rescue, save; lift up",,,拯,1781004450,"<img src=""mbp_拯_rescue.png"">",ZH,Unknown,Unknown,"<!-- ANKI_LINKER_START -->
<div style='margin-top:15px;padding-top:10px;border-top:1px dashed #374151;font-size:0.85em;color:#9CA3AF;line-height:1.5;'><b>Words containing 拯:</b> [拯救|nid1779271296705]</div>
<!-- ANKI_LINKER_END -->",zhěng,"In the Room, Branch Trolls (J. Timberlake) uses Adam's hand to lift up and rescue a trapped creature, ""eng""-aging in a heroic act.",-eng,拯,[sound:hypertts-4ff9126656ea799853f784464a5b9e70f7ab5f897dc98fd3c3ca1525.mp3],3,Room [3],拯,save / rescue; to cure / help,[sound:hsk4_en_words_24.mp3],[sound:hsk4_ch_words_24.mp3]
1778227240476,migaku_import,Captain Marvel (Brie Larson),"蝙蝠, 蝙蝠侠","[虫|nid1775412213981], [扁|nid1775412213830]",used in 蝙蝠[bian1 fu2],"<div class=""freq freq-basic"">basic</div>",,蝙,1778227354,"<img src=""MBP_note_1778227240476.jpg"">",bi,,Unknown,"<!-- ANKI_LINKER_START -->
<div style='margin-top:15px;padding-top:10px;border-top:1px dashed #374151;font-size:0.85em;color:#9CA3AF;line-height:1.5;'><b>Words containing 蝙:</b> [蝙蝠|nid1765404545907]</div>
<!-- ANKI_LINKER_END -->",biān,"Captain Marvel hovers in front of a shimmering cosmic portal as a monstrous swarm of giant insects surges towards her. With a concentrated burst of energy, she instantly flattens the entire horde against the portal's edge, leaving behind a horrifying, leathery bat-shaped imprint.",-ian,蝙,[sound:hypertts-2ab1362be32512bd816b0df1f190c8f6ca2edb6ac248760654098145.mp3],1,In Front [1],蝙,"(zoology) bat, Batman, comic book superhero",[sound:en_words_38eee29f8481b3ed2eca5aca8549268e9926422e.mp3],[sound:zh_words_35a0b09d76738df4eff019003d8b447fd7b17285.mp3]
1781004427292,n1_added,Lisa Simpsons,"打捞, 捞取","[扌|nid1775412213832], [劳|nid1768474725580]","dredge, scoop up; fish out",,,捞,1781004451,"<img src=""mbp_捞_dredge.png"">",L,Unknown,Unknown,"<!-- ANKI_LINKER_START -->
<div style='margin-top:15px;padding-top:10px;border-top:1px dashed #374151;font-size:0.85em;color:#9CA3AF;line-height:1.5;'><b>Words containing 捞:</b> [捞|nid1780150184468]</div>
<!-- ANKI_LINKER_END -->",lāo,"In Front, Lisa Simpson uses Adam's hand to ""ao""-ut of the pond to dredge and scoop up the fish, performing hard labor.",-ao,捞,[sound:hypertts-839daee8dac63b566f58f9459365293f8f17fcf768dec7968ee6e28f.mp3],1,In Front [1],捞,salvage / dredge; scoop up,[sound:hsk4_en_words_25.mp3],[sound:hsk4_ch_words_25.mp3]
1781004427295,n1_added,Samuel L Jackson,"撕毁, 撕裂","[扌|nid1775412213832], [斯|nid1768474725833]","tear, rip; rend",,,撕,1781004452,"<img src=""mbp_撕_tear.png"">",S,Unknown,Unknown,,sī,"In Front, Samuel L Jackson uses Adam's hand to fiercely tear and rip apart the fabric, as if enacting a dramatic scene.",-(Null),撕,[sound:hypertts-c54d44c8bd1bade6f0a174133a8dff6a6429d9af2897e789b154319f.mp3],1,In Front [1],撕,tear up; rip / tear,[sound:hsk4_en_words_26.mp3],[sound:hsk4_ch_words_26.mp3]
1778227240481,migaku_import,Chi-Chi (DBZ),"蜻蛉, 蜻蜓","[虫|nid1775412213981], [青|nid1775412214023]",see 蜻蜓[qing1 ting2],"<div class=""freq freq-basic"">basic</div>",,蜻,1778227355,"<img src=""MBP_note_1778227240481.jpg"">",qi,,Unknown,"<!-- ANKI_LINKER_START -->
<div style='margin-top:15px;padding-top:10px;border-top:1px dashed #374151;font-size:0.85em;color:#9CA3AF;line-height:1.5;'><b>Words containing 蜻:</b> [蜻蜓|nid1769293168347]</div>
<!-- ANKI_LINKER_END -->",qīng,"Chi-Chi, mid-kick directly in front of a sun-drenched bamboo grove, catches a blinding flash of vibrant 青 (blue-green) right at eye level. Her intense focus shatters as she sees this incredible 虫 (insect), a shimmering dragonfly, hovering directly before her, momentarily captivating the fierce warrior.",-ing,蜻,[sound:hypertts-9c24f4b06ac985f1eb5d05e4474e448c0f733048b0b194730311bbc6.mp3],1,In Front [1],蜻,"damselfly, dragonfly",[sound:en_words_5061015ecaa15cff1325c09a54420f4d6ac8b21b.mp3],[sound:zh_words_8b5b2ce6faa6255d95ea30613de726002bbc58f5.mp3]
1778227239459,migaku_import,Curation/Articuno,"崩摧, 悲摧","[手|nid1775412213831], [崔|nid1778231660702]",to break,"<div class=""freq freq-basic"">basic</div>",,摧,1778227240,"<img src=""MBP_note_1778227239459.jpg"">",cu,,Unknown,"<!-- ANKI_LINKER_START -->
<div style='margin-top:15px;padding-top:10px;border-top:1px dashed #374151;font-size:0.85em;color:#9CA3AF;line-height:1.5;'><b>Words containing 摧:</b> [摧毁|nid1776271015739]</div>
<!-- ANKI_LINKER_END -->",cuī,"In Room 1, the majestic Articuno, demonstrating incredible talent, effortlessly breaks a towering cluster of crystalline pillars. With a precise flick of its icy hand, the structure shatters with a resounding, echoing ""Cuiiii!"" leaving a glittering mess across the floor.",-uī,摧,[sound:hypertts-6227497592a1fbce8ddc0b4af0f9cf0bafcf9c96e8ee2749cd4197e2.mp3],1,In Front [1],摧,"to collapse, grieved",[sound:hypertts-05485af3b17a0e89d1e5caf0538a49d1d62bb6cedf817b59a0f5af02.mp3],[sound:zh_words_894e652609bd7c504d431614ad4aa825d0fdbfed.mp3]
1778227239972,migaku_import,Luke Skywalker (Matt Hamill),"玫瑰, 托勒玫","[玉|nid1775412213907], [攴|nid1778231660844]",(fine jade),"<div class=""freq freq-basic"">basic</div>",,玫,1778227275,"<img src=""MBP_note_1778227239972.jpg"">",m,,Unknown,"<!-- ANKI_LINKER_START -->
<div style=""margin-top:15px;padding-top:10px;border-top:1px dashed #374151;font-size:0.85em;color:#9CA3AF;line-height:1.5;""><b>Words containing 玫:</b> [玫瑰花|nid1763129744194]</div>
<!-- ANKI_LINKER_END -->",méi,"In a grimy, ancient Kitchen, Luke Skywalker, desperate for provisions, spots a magnificent, intricately carved king's (王) pantry door. With a desperate, lightsaber-hilt tap (攵), the heavy door springs open, revealing a glittering trove of fine jade (玉) utensils alongside gleaming decorative tapping-tools (攴), their cool surfaces glowing with an otherworldly shimmer.",-ei,玫,[sound:hypertts-d57f6785255e5014deed0b91a57fa45347dfed2de98c9fb4115f6f9a.mp3],2,Hall or Kitchen [2],玫,"rugosa rose (shrub) (Rosa rugosa) (CL:棵[ke1]), Ptolemy or Claudius Ptolemaeus (c. 90-c. 168), Alexandrian Greek astronomer, mathematician and geographer, author of the Almagest 天文學大成|天文学大成",[sound:hypertts-a3e1ef86892411fb209062f67ae2113973905c61b402870bc25c0216.mp3],[sound:zh_words_c64369cfa4a03647e5508504be9f98f11fdc38d8.mp3]
1781004427299,n1_added,Chaplin,"宽敞, 敞开","[厂|nid1775412213702], [尚|nid1775412213779], 攵","open, spacious; clear",,,敞,1781004453,"<img src=""mbp_敞_open.png"">",CH,Unknown,Unknown,,chǎng,"In the Room, Chaplin admires the open and spacious factory, which has an ""ang""-ular design, feeling a noble and clear sense of awe.",-ang,敞,[sound:hypertts-fd61c7d9203b9caa0392e1e019f0ac303d5e39955d843a184653a8f0.mp3],3,Room [3],敞,spacious; open wide,[sound:hsk4_en_words_27.mp3],[sound:hsk4_ch_words_27.mp3]
1778227240487,migaku_import,Minnie Mouse,"乖谬, 差谬","[言|nid1775412213989], 翏",(bound form) false; erroneous; absurd,"<div class=""freq freq-basic"">basic</div>",,谬,1778227356,"<img src=""MBP_note_1778227240487.jpg"">",mi,,Unknown,"<!-- ANKI_LINKER_START -->
<div style='margin-top:15px;padding-top:10px;border-top:1px dashed #374151;font-size:0.85em;color:#9CA3AF;line-height:1.5;'><b>Words containing 谬:</b> [荒谬|nid1753480784372]</div>
<!-- ANKI_LINKER_END -->",miù,"Minnie Mouse, standing in her sun-drenched Backyard [4], begins to furiously spin an absurd tale, her mouth (讠) flapping open and shut with frantic energy. With each false utterance, dozens of tiny, gossamer-winged creatures (翏) burst forth, erratically spiraling into the sky like a flock of erroneous butterflies, leaving you speechless at the sheer absurdity and falsity of her words.",-iu,谬,[sound:hypertts-d5e0a47d9721b1823c6841b566507f6456b34ababd60f52947c9f0a3.mp3],4,Backyard [4],謬,"ridiculous, error",[sound:en_words_ea779c152f3c4d839ae805461d47620242a2da72.mp3],[sound:zh_words_1b0947631a2058199f80587794c99488e6500f76.mp3]
1781004427303,n1_added,Chaplin,"排斥, 斥责","[厂|nid1775412213702], [斤|nid1775412213843]","denounce, reprimand; blame; reject",,,斥,1781004454,"<img src=""mbp_斥_denounce.png"">",CH,Unknown,Unknown,"<!-- ANKI_LINKER_START -->
<div style='margin-top:15px;padding-top:10px;border-top:1px dashed #374151;font-size:0.85em;color:#9CA3AF;line-height:1.5;'><b>Derived characters:</b> [拆|nid1768474726039], [诉|nid1768474724722]</div>
<!-- ANKI_LINKER_END -->",chì,"In the Backyard, Chaplin, wielding an axe (斤) from a factory, loudly denounces and reprimands the weight, ready to reject and blame it for its shortcomings.",-(Null),斥,[sound:hypertts-2c87fc6f3cdf2a980b68bebfbac8f9566ad0f08ddac95e086e7cde1d.mp3],4,Backyard [4],斥,exclude / reject; reprimand,[sound:hsk4_en_words_28.mp3],[sound:hsk4_ch_words_28.mp3]
1778227240491,migaku_import,Kenny (South Park),"八廓, 寥廓","[广|nid1775412213800], 郭",(bound form) extensive; vast,"<div class=""freq freq-basic"">basic</div>",,廓,1778227357,"<img src=""MBP_note_1778227240491.jpg"">",ku,,Unknown,"<!-- ANKI_LINKER_START -->
<div style='margin-top:15px;padding-top:10px;border-top:1px dashed #374151;font-size:0.85em;color:#9CA3AF;line-height:1.5;'><b>Words containing 廓:</b> [轮廓|nid1756545101012]</div>
<!-- ANKI_LINKER_END -->",kuò,"Kenny, gasping for breath, scrambles through the overgrown, vast backyard, desperately trying to scale the crumbling, extensive outer wall (郭) that stretches widely (广) into the misty distance. The cold, rough stone scrapes against his parka as he looks back at the menacing, boundless expanse he just crossed, realizing the sheer vastness of his predicament.",-uo,廓,[sound:hypertts-202c9a3a79796124a7e7a8b7e56f8fdcad21b7ae3ac8f3cc1b548f8c.mp3],4,Backyard [4],廓,"Barkhor, pilgrim circuit around Jokhang temple in Lhasa, Tibet, (literary) vast; boundless",[sound:en_words_c13f1cc92435647e7ff646b5a07bc2830ad7afb5.mp3],[sound:zh_words_1cfb2d83c4841371568ed378d8fddb48da26ea81.mp3]
